Course Code,Course Name,Course Description
CS 7180,Special Topics in Artificial Intelligence,Offers various topics on artificial intelligence. May be repeated up to two times.
CS 7280,Special Topics in Database Management,Offers various topics. Possible areas include object-oriented database systems and distributed database systems. May be repeated up to two times.
CIVE 7100,Time Series and Geospatial Data Sciences,"Offers an interdisciplinary course covering the fundamentals of time series and spatial statistics with applications in engineering, science, and business. Introduces analysis and forecasting methods for time series, spatial, and spatiotemporal data. Discusses classical time or frequency domain methods, as well as recent techniques motivated from computer science, physics, statistics, or engineering. Case studies relate to ongoing research and to real-world examples. A demo project is selected by the instructor based on discussion with individual students. A computer-based final project can be tailored to student interests in environmental engineering, sustainability sciences, security threat assessments, social sciences, business, or management science and finance. Requires undergraduate probability and statistics (CIVE 3464 or equivalent); background in programming languages such as MATLAB or R helpful but not required."
CIVE 7388,Special Topics in Civil Engineering,Offered when the need for a special topic is evident to faculty and students. The course is initiated by the appropriate faculty members and discipline committee and approved by the department. May be repeated without limit.
EECE 5639,Computer Vision,"Introduces topics such as image formation, segmentation, feature extraction, matching, shape recovery, dynamic scene analysis, and object recognition. Computer vision brings together imaging devices, computers, and sophisticated algorithms to solve problems in industrial inspection, autonomous navigation, human-computer interfaces, medicine, image retrieval from databases, realistic computer graphics rendering, document analysis, and remote sensing. The goal of computer vision is to make useful decisions about real physical objects and scenes based on sensed images. Computer vision is an exciting but disorganized field that builds on very diverse disciplines such as image processing, statistics, pattern recognition, control theory, system identification, physics, geometry, computer graphics, and learning theory. Requires good programming experience in Matlab or C++."
EECE 5640,High-Performance Computing,"Covers accelerating scientific and other applications on computer clusters, many-core processors, and graphical processing units (GPUs). Modern computers take advantage of multiple threads and multiple cores to accelerate scientific and engineering applications. Topics covered include parallel computer architecture, parallel programming models, and theories of computation, as well as models for many-core processing. Highlights implementation of computer arithmetic and how it varies on different computer architectures. Includes an individual project where each student is expected to implement an application, port that application to several different styles of parallelism, and compare the results. Programming is done in variants of the C programming language."
EECE 7337,Information Theory,"Discusses basic properties of entropy and mutual information, Shannon’s fundamental theorems on data compression and data transmission in the single-user case, binning, and covering lemmas. Topics include rate distortion theory, feedback in one-way channels, Slepian-Wolf coding of correlated information sources, source coding with side information at the receiver, multiple access channel and its capacity region, and the capacity region of the Gaussian multiple access channel. Also covers broadcast channels, superposition coding, and the capacity region of the degraded broadcast channel; performance and comparison of TDMA, FDMA, and CDMA systems from a theoretical point of view; capacity issues for time-varying channels and channels with memory; relation between information theory and statistics; Stein’s lemma; and large deviation theory."
EECE 7370,Advanced Computer Vision,"Offers students an opportunity to obtain practical knowledge in computer vision and to develop skills for being a successful researcher in this field. The goal of the field of computer vision is to make useful decisions about real physical objects and scenes based on sensed images. Achieving this goal requires obtaining and using descriptions (models) of the sensors and the world. Computer vision is an exciting field that builds on very diverse disciplines such as image processing, statistics, pattern recognition, control theory and system identification, physics, geometry, computer graphics, and machine learning. Course material includes state-of-the-art in the field, current research trends, and algorithms and their applications, with an emphasis on the mathematical methods used."
EECE 7397,Advanced Machine Learning,"Covers topics in advanced machine learning. Presents materials in the current machine learning literature. Focuses on graphical models, latent variable models, Bayesian inference, and nonparametric Bayesian methods. Seeks to prepare students to do research in machine learning. Expects students to read conference and journal articles, present these articles, and write an individual research paper. CS 7140 and EECE 7397 are cross-listed."
IE 7280,Statistical Methods in Engineering,"Discusses statistical models for analysis and prediction of random phenomena. Topics include review of descriptive statistics and hypothesis testing, linear models, both regression and ANOVA. Introduces design of experiments. Covers experiments with single and multiple factors of interest, and considers experiments with high-order experimental restrictions."
ECON 5140,Applied Econometrics,"Offers an intensive study of econometric techniques applied to cross-section, time-series, and panel data. Applies the fundamentals of econometrics to analyzing structural economic models, forecasting, and policy analysis. Computer applications and an empirical research project are an integral part of the course."
PPUA 5261,Dynamic Modeling for Environmental Decision Making,"Introduces the theory, methods, and tools of dynamic modeling for policy and investment decision making, with special focus on environmental issues. Makes use of state-of-the-art computing methods to translate theory and concepts into executable models and provides extensive hands-on modeling experience. Topics include discounting, intertemporal optimization, dynamic games, and treatment of uncertainty."
PPUA 5262,Big Data for Cities,"Investigates the city and its spatial, social, and economic dynamics through the lens of data and visual analytics. Utilizes large public datasets to develop knowledge about visual methods for analyzing data and communicating results. Offers students an opportunity to develop a critical understanding of data structures, collection methodologies, and their inherent biases."
PPUA 5263,Geographic Information Systems for Urban and Regional Policy,Studies basic skills in spatial analytic methods. Introduces students to some of the urban social scientific and policy questions that have been answered with these methods. Covers introductory concepts and tools in geographic information systems (GIS). Offers students an opportunity to obtain the skills to develop and write an original policy-oriented spatial research project with an urban social science focus.
PPUA 5266,Urban Theory and Science,"Studies the evolution of urban science, looking at some seminal theories that seeded the field and the subsequent work they inspired, including the methodologies developed to examine them. For over a century, social scientists and policymakers have sought to better understand cities, asking important theoretical questions, such as: What is a neighborhood? How does a city grow? What is a city in the first place? Culminates in an examination of urban science in the digital age, exploring how modern technological trends, including “big data,” are posing new questions and offering new ways to answer them."
PPUA 7237,Advanced Spatial Analysis of Urban Systems,"Builds on skills covered in PPUA 5263. Offers students an opportunity to obtain greater depth in the analysis of urban spatial data focused on several urban systems (including social, built, and natural systems). Focuses on understanding the spatial relationships between various new and large urban datasets relevant to current policy challenges within cities. This is a project-based class."
POLS 7200,Perspectives on Social Science Inquiry,"Explores the philosophy of science and the scientific method as applied to the social sciences and political analysis. Considers individualist perspectives (that is, rational choice), group perspectives (pluralism), structural/institutional perspectives (class analysis), and postmodern critiques."
POLS 7201,Research Design,"Provides an overview of research methods and tools used by social scientists including survey research, elite interviews, statistical approaches, case studies, comparative analysis, use of history, and experimental/nonexperimental design."
POLS 7202,Quantitative Techniques,"Teaches the use of social science quantitative techniques, emphasizing applications of value to public sector analysts and scholars alike. Includes descriptive statistics, hypothesis testing, cross-tabulation, bivariate regression and correlation, and multiple regression. Examines how to generate and interpret statistical analyses through use of SPSS."
BUSN 6320,Business Analytics Fundamentals,"Introduces the key concepts of data science and data analytics as applied to solving data-centered business problems. Emphasizes principles and methods covering the process from envisioning the problem; applying data science techniques; deploying results; and improving financial performance, strategic management, and operational efficiency. Includes an introduction to data-analytic thinking, application of data science solutions to business problems, and some fundamental data science tools for data analysis."
PHYS 5116,Complex Networks and Applications,"Introduces network science and the set of analytical, numerical, and modeling tools used to understand complex networks emerging in nature and technology. Focuses on the empirical study of real networks, with examples coming from biology (metabolic, protein interaction networks), computer science (World Wide Web, Internet), or social systems (e-mail, friendship networks). Shows the organizing principles that govern the emergence of networks and the set of tools necessary to characterize and model them. Covers elements of graph theory, statistical physics, biology, and social science as they pertain to the understanding of complex systems."
PHYS 7305,Statistical Physics,"Briefly reviews thermodynamics. Topics include the principles of statistical mechanics and statistical thermodynamics; density matrix; theory of ensembles; Fermi-Dirac and Bose-Einstein statistics, application to gases, liquids, and solids; theory of phase transitions; and thermodynamics of electric and magnetic systems, transport phenomena, random walks, and cooperative phenomena."
PHYS 7321,Computational Physics,"Covers basic numerical methods for differentiation, integration, and matrix operations used in linear algebra problems, discrete Fourier transforms, and standard and stochastic ordinary and partial differential equations. Specific applications of these methods may include classical chaos, computation of eigenstates of simple quantum systems, classical phase transitions, boundary value problems, pattern formation, and molecular dynamics and classical/quantum Monte Carlo methods to simulate the equilibrium and nonequilibrium properties of condensed phases."
PHYS 7331,Network Science Data,"Offers an overview of data mining and analysis and techniques in network science. Introduces students to network data analysis. Presents algorithms for the characterization and measurement of networks (centrality based, decomposition, community analysis, etc.) and issues in sampling and statistical biases. Reviews visualization algorithms and specific software tools. Offers students an opportunity to learn about working with real-world network datasets."
PHTH 5202,Introduction to Epidemiology,"Introduces the principles, concepts, and methods of population-based epidemiologic research. Offers students an opportunity to understand and critically review epidemiologic studies. Lectures and discussions aim to serve as a foundation for training in epidemiology, quantitative methods, and population-based health research. The course is a required introductory course for students in the Master of Public Health program and is appropriate for students who are interested in epidemiologic research. Students not meeting course restrictions may seek permission of instructor."
PHTH 5210,Biostatistics in Public Health,"Offers public health students an opportunity to obtain the fundamental concepts and methods of biostatistics as applied predominantly to public health problems and the skills to perform basic statistical calculations Emphasizes interpretation and comprehension of concepts. Topics include descriptive statistics, vital statistics, sampling, estimation and significance testing, sample size and power, correlation and regression, spatial and temporal trends, small area analysis, and statistical issues in policy development. Draws examples of statistical methods from the public health practice. Introduces use of computer statistical packages. Requires permission of instructor for students outside designated programs."
PHTH 6224,Social Epidemiology,"Focuses on social epidemiology, which is defined as the study of the distribution and determinants of health in populations as related to the social and economic determinants of health. Includes theories, patterns, and controversies, as well as programs and policies that can be applied to address health inequalities. Readings include articles that situate one dimension of social epidemiology with articles addressing the empirical patterns, address prevailing theories and controversies regarding the causes of the inequalities, as well as address interventions or policies that may be applied to address the inequalities."
GSND 5110,Game Design and Analysis,"Provides theoretical background and foundation for analyzing and designing games. Examines fundamental domains that are necessary to understand what games are and how they affect players, including but not limited to interface design, level design, narrative, learning, and culture. Presents relevant concepts and frameworks from a wide variety of disciplines—psychology, phenomenology, sociology, anthropology, media studies, affect theories, learning theories, and theories of motivation—for each domain. Explains the core elements of game design, introduces students to formal abstract design tools, explores several models of design process and iteration, and offers students an opportunity to practice game design in groups."
GSND 6350,Data-Driven Player Modeling,"Introduces the topic of game analytics, defined as the process of discovering and communicating patterns in data with a goal of solving problems and developing predictions in user behavior supporting decision management, driving action, and/or improving game products. Covers the fundamental tools, methods, and principles of game analytics, including the knowledge-discovery process, data collection, feature extraction and selection, pattern recognition to aid in prediction and churn analysis, visualization, and reporting. Covers analytics across game forms, notably online games and delivery platforms. Presents analytical tools recommended during development and tools designed for ongoing maintenance of games."
