Course Code,Course Name,Course Description
ALY 6060,Decision Support and Business Intelligence,"Introduces current and emerging business analytical concepts and information technologies to support decision making and business intelligence. Commercial decision support systems in various application areas are introduced and discussed using case studies, including CRM (customer relationship management) for customer management, web analytics applications, sales force management systems, etc. Introduces business intelligence technology and applications, such as OLAP (Online Analytical Processing), OBIEE (Oracle Business Intelligence Enterprise Edition), and IBM Cognos. Offers students an opportunity to gain hands-on experience using business intelligence tools, including Tableau or QlikView."
ALY 6100,Data-Driven Decision Making,"Designed to provide an in-depth focus on data-driven decision making in organizations. Examines the models, tools, techniques, and theory of data-driven decision making that can improve the quality of business leadership decisions through solution-based case studies."
ALY 6120,Leadership in Analytics,"Covers analytical leadership principles for the structure and dynamics of organizations, combining relevant research to offer students an opportunity to deepen their understanding of effective change in business analytical decision making."
ALY 6040,Data Mining Applications,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
ALY 6130,Risk Management for Analytics,"Seeks to provide a conceptual overview of analytic risk management. Offers students an opportunity to evaluate and analyze financial, technical, and other business risk-assessment and risk-modeling techniques and tools."
ALY 6030,Data Warehousing and SQL,"Focuses on the management, mining, and interpretation of patterns in large databases. Offers students an opportunity to learn how organizations construct data warehouses from operational databases, about different data warehouse architectures, how to build a data warehouse, and how to structure databases for efficient data mining. Discusses relational databases and Structured Query Language (SQL) for the fundamentals in data modeling, database management, and SQL queries. Introduces other modern database systems such as NoSQL (non SQL) and column-based databases."
ALY 6040,Data Mining Applications,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
ITC 6015,Enterprise Information Architecture,"Introduces the theory, framework/model, methodology, and tools that enhance business and organizations’ ability to discover, access, and understand data and to integrate IT and information resources, with an ultimate goal to produce information needed to make critical decisions and support business functions. Data and information management is critical to modern businesses. Covers best practices using cases studies in a more practical, comprehensive approach to delivering the subject matter involving the application of tools."
ITC 6020,Information Systems Design and Development,"Discusses the planning, analysis, design, and implementation of computer-based information systems, focusing on the methodologies and procedures used in organizational problem solving and systems development. Topics include the systems development life cycle; project management; requirements analysis and specification; feasibility and cost-benefit analysis; logical and physical design; prototyping; system validation, deployment, and postimplementation review. Additional topics may include platform and database selection and integration issues, CASE tools, end-user training, maintenance, and object-oriented analysis and design."
ALY 6060,Decision Support and Business Intelligence,"Introduces current and emerging business analytical concepts and information technologies to support decision making and business intelligence. Commercial decision support systems in various application areas are introduced and discussed using case studies, including CRM (customer relationship management) for customer management, web analytics applications, sales force management systems, etc. Introduces business intelligence technology and applications, such as OLAP (Online Analytical Processing), OBIEE (Oracle Business Intelligence Enterprise Edition), and IBM Cognos. Offers students an opportunity to gain hands-on experience using business intelligence tools, including Tableau or QlikView."
ALY 6080,Integrated Experiential Learning,Offers a practicum in the development and delivery of predictive data analysis for strategic decision making in organizations. Offers students an opportunity to apply the principles and tools of analytics to real-world problems in business organizations and to develop and present analytical insights and recommendations for successful implementation of their capstone project.
ALY 6980,Capstone,Offers an advanced practicum in the development and delivery of predictive data analysis for strategic decision making in organizations. Students apply the principles and tools of analytics to a comprehensive real-world problem or project within a sponsoring organization. Expects students to present analytical insights and recommendations for successful implementation of their capstone project.
ALY 6020,Predictive Analytics,"Introduces the end-to-end data-driven statistical modeling and predictive modeling approach in R with applications and case studies. Includes all the data and modeling steps in a full modeling cycle, including data ETL process, exploratory data analysis and data cleansing for outlier imputation and data normalization, commonly applied modeling techniques such as linear regression and logistic regression, modeling steps such as model training, and validation and testing. R is introduced as the data processing, analysis, and modeling tool and is used in the case studies."
ALY 6030,Data Warehousing and SQL,"Focuses on the management, mining, and interpretation of patterns in large databases. Offers students an opportunity to learn how organizations construct data warehouses from operational databases, about different data warehouse architectures, how to build a data warehouse, and how to structure databases for efficient data mining. Discusses relational databases and Structured Query Language (SQL) for the fundamentals in data modeling, database management, and SQL queries. Introduces other modern database systems such as NoSQL (non SQL) and column-based databases."
ALY 6040,Data Mining Applications,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
ALY 6050,Introduction to Enterprise Analytics,"Introduces the field of enterprise data analytics, which is defined as the extensive use of data, statistical and quantitative analysis, exploratory and predictive models, and fact-based decision making to drive business strategies and actions. Discusses a few widely practiced data analytics areas, such as marketing analytics, retail analytics, financial analytics, people analytics, as well as general industry practices in end-to-end analytics development cycles, including data management, data engineering, analytics modeling, and strategy development. Offers students an opportunity to learn how to use quantitative techniques for strategic business decision making. Introduces specific analysis techniques including forecasting, simulation, linear programming, and optimization."
ALY 6060,Decision Support and Business Intelligence,"Introduces current and emerging business analytical concepts and information technologies to support decision making and business intelligence. Commercial decision support systems in various application areas are introduced and discussed using case studies, including CRM (customer relationship management) for customer management, web analytics applications, sales force management systems, etc. Introduces business intelligence technology and applications, such as OLAP (Online Analytical Processing), OBIEE (Oracle Business Intelligence Enterprise Edition), and IBM Cognos. Offers students an opportunity to gain hands-on experience using business intelligence tools, including Tableau or QlikView."
ALY 6100,Data-Driven Decision Making,"Designed to provide an in-depth focus on data-driven decision making in organizations. Examines the models, tools, techniques, and theory of data-driven decision making that can improve the quality of business leadership decisions through solution-based case studies."
ALY 6110,Data Management and Big Data,"Designed to provide the student with the core concepts of data collection and management. Topics include systems for collecting data and implications for practice; types of data (textual, quantitative, qualitative, etc.); and storing data with privacy and security issues in mind. Offers students an opportunity to obtain a high-level understanding of big data technologies for data accessibility, efficiency, and security of data management at scale, including big data storage and computing technologies and big data analytics applications. Students create a working system for data acquisition and management using publicly available data sets and evaluate traditional data warehouse platforms as well as cloud-based big data storage and computing technologies. Azure is also introduced and used in the lab sessions."
ALY 6120,Leadership in Analytics,"Covers analytical leadership principles for the structure and dynamics of organizations, combining relevant research to offer students an opportunity to deepen their understanding of effective change in business analytical decision making."
ALY 6130,Risk Management for Analytics,"Seeks to provide a conceptual overview of analytic risk management. Offers students an opportunity to evaluate and analyze financial, technical, and other business risk-assessment and risk-modeling techniques and tools."
ALY 6140,Analytics Systems Technology,"Presents a selection of analytics systems technologies that are deployed in lab sessions throughout the analytics program. A multitude of analytics systems technologies are used for different purposes to describe data numerically and graphically, for data visualization, file systems (HFS) for a large data mart, applications of structured query language, and filtering and transforming to ingest the data through scripting languages. Some of the tools are taught in greater detail (e.g., Python, machine learning), whereas others are introduced more broadly."
ALY 6150,Healthcare/Pharmaceutical Data and Applications,"Introduces a selection of healthcare/pharmaceutical data used for a variety of purposes, and its specific application in data-driven business decision making. Healthcare/Pharmaceutical data is collected as part of Medicare and Medicaid databases and as mandated by the PPACA (Patient and Affordable Care Act) and the PPSA (Physicians Payment Sunshine Act). Data is available in the form of medical records, social networks, outcomes databases, syndicated data reports, epidemiological data, demographic data, analyst information, RD Pipeline Database, market data, and online journals and newsletters. Organizations, corporations, and companies use these varieties of data for a host of different reasons - to better profile and segment customers, to answer performance questions, and to identify and capture key opportunities."
ALY 6160,Business Intelligence in Healthcare/Pharmaceutical,"Focuses on the use of and interplay between secondary data, primary market research, competitive intelligence, and forecasting within healthcare/pharmaceutical organizations. Introduces excellence in analytics on the pathway to market and launch planning. Discusses the approach and contribution of competitive intelligence as a critical component to the success of creating business insight. Also discusses excellence in forecasting and how the different business intelligence components of data, primary market research, and competitive intelligence shape sales and demand forecasts."
ALY 6983,Topics,Discusses contemporary topics in analytics for a rotating variety of industries (nonprofit and for-profit).
CMN 6005,Foundations of Professional Communication,"Focuses on comprehensive reading and written communication from both academic and professional perspectives and integrates best practices in both. The key to success in any professional field is the ability to communicate effectively. Offers students an opportunity to evaluate personal adaptation to a new cultural and educational setting, including the use of learning resources."
EDU 6184,Interdisciplinary Foundations,"Provides the iCert Program orientation through three areas of focus: reflection and self-assessment to inform the course selection process; exposure to a broad vision of the contemporary workplace and the competencies required for career success as individuals, members of organizations, and as global citizens; and development of an individual Professional Learning Plan (PLP). Includes a variety of academic and career-related support systems as students embark on a journey that builds on past experiences while providing opportunities for reflection as they develop goals for the future."
GIS 5201,Advanced Spatial Analysis,"Provides an in-depth evaluation of theoretical, mathematical, and computational foundations of GIS. Topics include spatial information theory, database theory, mathematical models of spatial objects, and GIS-based representation. Examines advanced concepts and techniques in raster-based GIS and high-level GIS modeling techniques."
ITC 6000,Database Management Systems,"Covers the use and capabilities of modern database management systems with an emphasis on performance and reliability. After a brief review of conceptual data models and database design, the focus moves to the underlying technology—database engines, storage and indexing, memory use, the relational model, normalization/de-normalization, query processing, and SQL. Also discusses the need for and design of concurrency control, integrity, security, and recovery capabilities."
ITC 6020,Information Systems Design and Development,"Discusses the planning, analysis, design, and implementation of computer-based information systems, focusing on the methodologies and procedures used in organizational problem solving and systems development. Topics include the systems development life cycle; project management; requirements analysis and specification; feasibility and cost-benefit analysis; logical and physical design; prototyping; system validation, deployment, and postimplementation review. Additional topics may include platform and database selection and integration issues, CASE tools, end-user training, maintenance, and object-oriented analysis and design."
ITC 6045,"Information Technology Policy, Ethics, and Social Responsibility","Explores the policy choices, ethical issues, and legal obligations faced by organizations in the information age. Topics include intellectual property, freedom of expression, privacy, national security, impact of information technology (IT) on the work and home lives of employees, and ethical codes of conduct for IT professionals. Intended to sensitize IT managers and professionals to the issues that arise when doing business in an interconnected world and to develop an understanding of how to ethically and legally operate and use modern computer systems and networks."
ITC 6310,Information Security Governance,"Covers the foundations for the policy, law, regulatory, and ethical accountability frameworks that information security risk managers must work within. Information security governance is an overarching consideration in all risk-management-related endeavors, and it is understood to be of supreme importance for information security since many issues have legal, regulatory, policy, and ethical considerations."
LDR 6110,Leading Teams,"Offers students an opportunity to lead teams through all stages of team development, learn and overcome team challenges, and determine the principles of building high-performing teams while nurturing the cohesion and bonding of team members. The team is the unit of an organization where most leaders begin to develop influence skills. Leading teams involves managing different personalities, cultures, and varying skill levels, while simultaneously securing resources and managing expectations of stakeholders. In this course, students also have an opportunity to learn effective techniques for working with virtual teams, managing conflict in teams, and facilitating team problem solving."
LDR 6135,Ethical Leadership,"Considers leadership dilemmas that can arise when individual values conflict with those of the organization or when a situation requires decisions with conflict value sets. Offers students an opportunity to use case studies, their own experiences, and current events to examine actions leaders have taken and consequences faced when confronted with ethical dilemmas. Students work on a real-life ethical dilemma for understanding in-depth reasoning of the problem and to develop an action plan for solving and preventing similar problems at the organizational and societal levels. From these discussions, students have an opportunity to develop a personal model for ethical leadership."
PJM 6005,Project Scope Management,"Offers insight into how projects are defined, evaluated, and ultimately translated into manageable project requirements and concrete deliverables. By learning how to identify stakeholder needs and convert those needs into viable, measurable project scope documentation, a project manager can successfully manage not only a project’s scope but also make informed recommendations when trade-offs between project scope, cost, and schedule become necessary."
PJM 6015,Project Risk Management,"Examines quantitative techniques for risk assessment and decision making, as well as the steps and elements of a risk management plan, including the ongoing monitoring of risk factors. The accurate identification of risks, and understanding of how to account for the potential impact of risks, can greatly impact the likelihood of project success."
PJM 6125,Project Evaluation and Assessment,"Offers students an opportunity to learn to develop metrics for determining and reporting project performance. Examines both quantitative and qualitative approaches of evaluation, with an emphasis on earned value management. Examines stakeholder analysis and techniques for reporting performance results."
PJM 6180,Project Stakeholder Management,"Offers students an opportunity to learn the mechanisms necessary to effectively identify all stakeholders, including the people, groups, or organizations that are impacted or may have an impact on the project. Examines how to analyze stakeholder expectations and how to develop management strategies for effective stakeholder engagement throughout the project."
